asset_id,longitude,latitude,taxonomy,num_buildings,built_up_area,structural_replacement_cost,structural_retrofit_cost,structural_insurance_limit,structural_insurance_deductible,nonstructural_replacement_cost,nonstructural_retrofit_cost,nonstructural_insurance_limit,nonstructural_insurance_deductible,contents_replacement_cost,contents_retrofit_cost,contents_insurance_limit,contents_insurance_deductible,downtime_cost,downtime_insurance_limit,downtime_insurance_deductible,day_occupants,night_occupants,transit_occupants
74,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-5-F-T-F-F-T,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,100,60
75,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-6-F-T-F-F-T,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,120,72
76,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-7-F-T-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,140,84
77,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-8-F-T-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,160,96
78,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-9-F-T-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45,180,108
79,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-10-F-T-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,200,120
80,35.795031019583028,32.302751776614315,JOR-MURadobe-1-T-F-F-F-T,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,3
81,35.795031019583028,32.302751776614315,JOR-MURadobe-2-T-F-F-F-T,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,10,6
82,35.795031019583028,32.302751776614315,JOR-MURadobe-3-T-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,15,9
83,35.795031019583028,32.302751776614315,JOR-MURadobe-4-T-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,20,12
84,35.795031019583028,32.302751776614315,JOR-MURadobe-5-T-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,25,15
85,35.795031019583028,32.302751776614315,JOR-MURadobe-6-T-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,30,18
86,35.795031019583028,32.302751776614315,JOR-MURadobe-7-T-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,35,21
87,35.795031019583028,32.302751776614315,JOR-MURadobe-8-T-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,40,24
88,35.795031019583028,32.302751776614315,JOR-MURadobe-9-T-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,45,27
89,35.795031019583028,32.302751776614315,JOR-MURadobe-10-T-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,50,30
90,35.795031019583028,32.302751776614315,JOR-MURadobe-1-F-F-F-F-T,1759,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,3
91,35.795031019583028,32.302751776614315,JOR-MURadobe-2-F-F-F-F-T,167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,10,6
92,35.795031019583028,32.302751776614315,JOR-MURadobe-3-F-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,15,9
93,35.795031019583028,32.302751776614315,JOR-MURadobe-4-F-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,20,12
94,35.795031019583028,32.302751776614315,JOR-MURadobe-5-F-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,25,15
95,35.795031019583028,32.302751776614315,JOR-MURadobe-6-F-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,30,18
96,35.795031019583028,32.302751776614315,JOR-MURadobe-7-F-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,35,21
97,35.795031019583028,32.302751776614315,JOR-MURadobe-8-F-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,40,24
98,35.795031019583028,32.302751776614315,JOR-MURadobe-9-F-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,45,27
99,35.795031019583028,32.302751776614315,JOR-MURadobe-10-F-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,50,30
100,36.384140213282812,31.590441955554439,JOR-MURmanufactured-1-T-F-F-F-T,64895,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,3
101,36.384140213282812,31.590441955554439,JOR-MURmanufactured-2-T-F-F-F-T,29246,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,10,6
102,36.384140213282812,31.590441955554439,JOR-MURmanufactured-3-T-F-F-F-T,11910,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,15,9
103,36.384140213282812,31.590441955554439,JOR-MURmanufactured-4-T-F-F-F-T,4648,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,20,12
104,36.384140213282812,31.590441955554439,JOR-MURmanufactured-5-T-F-F-F-T,800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,25,15
105,36.384140213282812,31.590441955554439,JOR-MURmanufactured-6-T-F-F-F-T,97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,30,18
106,36.384140213282812,31.590441955554439,JOR-MURmanufactured-7-T-F-F-F-T,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,35,21
107,36.384140213282812,31.590441955554439,JOR-MURmanufactured-8-T-F-F-F-T,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,40,24
108,36.384140213282812,31.590441955554439,JOR-MURmanufactured-9-T-F-F-F-T,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,45,27
109,36.384140213282812,31.590441955554439,JOR-MURmanufactured-10-T-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,50,30
110,36.384140213282812,31.590441955554439,JOR-MURmanufactured-1-F-F-F-F-T,101292,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,3
111,36.384140213282812,31.590441955554439,JOR-MURmanufactured-2-F-F-F-F-T,45648,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,10,6
112,36.384140213282812,31.590441955554439,JOR-MURmanufactured-3-F-F-F-F-T,18590,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,15,9
113,36.384140213282812,31.590441955554439,JOR-MURmanufactured-4-F-F-F-F-T,7255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,20,12
114,36.384140213282812,31.590441955554439,JOR-MURmanufactured-5-F-F-F-F-T,1248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,25,15
115,36.384140213282812,31.590441955554439,JOR-MURmanufactured-6-F-F-F-F-T,152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,30,18
116,36.384140213282812,31.590441955554439,JOR-MURmanufactured-7-F-F-F-F-T,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,35,21
117,36.384140213282812,31.590441955554439,JOR-MURmanufactured-8-F-F-F-F-T,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,40,24
118,36.384140213282812,31.590441955554439,JOR-MURmanufactured-9-F-F-F-F-T,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,45,27
119,36.384140213282812,31.590441955554439,JOR-MURmanufactured-10-F-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,50,30
120,36.384140213282812,31.590441955554439,JOR-RCFw/oERD-1-T-F-F-F-T,9154,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,20,12
121,36.384140213282812,31.590441955554439,JOR-RCFw/oERD-2-T-F-F-F-T,5261,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,40,24
