Adm0,Adm1,Adm2,ConstructionMaterial,NrBuildings,1,2,3,4,5,6,unknown_floor_nr,-1948,1948-1967,1968-1977,1978-1987,1988-1997,1998-2008,unknown_year
PSE,Gaza Strip,Gaza ash Shamaliyah,Other,551,0.5211024678,0.2625099507,0.1274108627,0.0547672584,0.0204949513,0.009070849,0.0046436602,0.0028829825,0.0977449548,0.1062754236,0.1781130287,0.2452114845,0.3366770665,0.0330950594
PSE,Gaza Strip,Gaza ash Shamaliyah,Old Stone,97,0.5211024678,0.2625099507,0.1274108627,0.0547672584,0.0204949513,0.009070849,0.0046436602,0.0028829825,0.0977449548,0.1062754236,0.1781130287,0.2452114845,0.3366770665,0.0330950594
PSE,Gaza Strip,Gaza ash Shamaliyah,Adobe Clay,4,0.5211024678,0.2625099507,0.1274108627,0.0547672584,0.0204949513,0.009070849,0.0046436602,0.0028829825,0.0977449548,0.1062754236,0.1781130287,0.2452114845,0.3366770665,0.0330950594
PSE,Gaza Strip,Gaza ash Shamaliyah,Cement Block,24403,0.5211024678,0.2625099507,0.1274108627,0.0547672584,0.0204949513,0.009070849,0.0046436602,0.0028829825,0.0977449548,0.1062754236,0.1781130287,0.2452114845,0.3366770665,0.0330950594
PSE,Gaza Strip,Gaza ash Shamaliyah,Concrete,5,0.5211024678,0.2625099507,0.1274108627,0.0547672584,0.0204949513,0.009070849,0.0046436602,0.0028829825,0.0977449548,0.1062754236,0.1781130287,0.2452114845,0.3366770665,0.0330950594
PSE,Gaza Strip,Gaza ash Shamaliyah,Stone and Concrete,353,0.5211024678,0.2625099507,0.1274108627,0.0547672584,0.0204949513,0.009070849,0.0046436602,0.0028829825,0.0977449548,0.1062754236,0.1781130287,0.2452114845,0.3366770665,0.0330950594
PSE,Gaza Strip,Gaza ash Shamaliyah,Cleaned Stone,203,0.5211024678,0.2625099507,0.1274108627,0.0547672584,0.0204949513,0.009070849,0.0046436602,0.0028829825,0.0977449548,0.1062754236,0.1781130287,0.2452114845,0.3366770665,0.0330950594
PSE,Gaza Strip,Gaza,Unknown,129,0.5211024678,0.2625099507,0.1274108627,0.0547672584,0.0204949513,0.009070849,0.0046436602,0.023015697,0.1217072029,0.1167787881,0.2012518174,0.2299598334,0.2472832114,0.0600034499
PSE,Gaza Strip,Gaza,Other,391,0.5211024678,0.2625099507,0.1274108627,0.0547672584,0.0204949513,0.009070849,0.0046436602,0.023015697,0.1217072029,0.1167787881,0.2012518174,0.2299598334,0.2472832114,0.0600034499
PSE,Gaza Strip,Gaza,Old Stone,621,0.5211024678,0.2625099507,0.1274108627,0.0547672584,0.0204949513,0.009070849,0.0046436602,0.023015697,0.1217072029,0.1167787881,0.2012518174,0.2299598334,0.2472832114,0.0600034499
PSE,Gaza Strip,Gaza,Adobe Clay,12,0.5211024678,0.2625099507,0.1274108627,0.0547672584,0.0204949513,0.009070849,0.0046436602,0.023015697,0.1217072029,0.1167787881,0.2012518174,0.2299598334,0.2472832114,0.0600034499
PSE,Gaza Strip,Gaza,Cement Block,38023,0.5211024678,0.2625099507,0.1274108627,0.0547672584,0.0204949513,0.009070849,0.0046436602,0.023015697,0.1217072029,0.1167787881,0.2012518174,0.2299598334,0.2472832114,0.0600034499
PSE,Gaza Strip,Gaza,Concrete,322,0.5211024678,0.2625099507,0.1274108627,0.0547672584,0.0204949513,0.009070849,0.0046436602,0.023015697,0.1217072029,0.1167787881,0.2012518174,0.2299598334,0.2472832114,0.0600034499
PSE,Gaza Strip,Gaza,Stone and Concrete,943,0.5211024678,0.2625099507,0.1274108627,0.0547672584,0.0204949513,0.009070849,0.0046436602,0.023015697,0.1217072029,0.1167787881,0.2012518174,0.2299598334,0.2472832114,0.0600034499
PSE,Gaza Strip,Gaza,Cleaned Stone,284,0.5211024678,0.2625099507,0.1274108627,0.0547672584,0.0204949513,0.009070849,0.0046436602,0.023015697,0.1217072029,0.1167787881,0.2012518174,0.2299598334,0.2472832114,0.0600034499
PSE,Gaza Strip,Deir Al-Balah,Unknown,128,0.5211024678,0.2625099507,0.1274108627,0.0547672584,0.0204949513,0.009070849,0.0046436602,0.0035096412,0.1250258062,0.0970312565,0.1556216194,0.2557496181,0.3097155126,0.0533465461
PSE,Gaza Strip,Deir Al-Balah,Other,308,0.5211024678,0.2625099507,0.1274108627,0.0547672584,0.0204949513,0.009070849,0.0046436602,0.0035096412,0.1250258062,0.0970312565,0.1556216194,0.2557496181,0.3097155126,0.0533465461
PSE,Gaza Strip,Deir Al-Balah,Old Stone,506,0.5211024678,0.2625099507,0.1274108627,0.0547672584,0.0204949513,0.009070849,0.0046436602,0.0035096412,0.1250258062,0.0970312565,0.1556216194,0.2557496181,0.3097155126,0.0533465461
PSE,Gaza Strip,Deir Al-Balah,Adobe Clay,8,0.5211024678,0.2625099507,0.1274108627,0.0547672584,0.0204949513,0.009070849,0.0046436602,0.0035096412,0.1250258062,0.0970312565,0.1556216194,0.2557496181,0.3097155126,0.0533465461
